"period","High","low"
"1","11.550000190735","11.119999885559"
"2","11.279999732971","10.760000228882"
"3","10.979999542236","10.729999542236"
"4","11.420000076294","10.859999656677"
"5","11.739999771118","11.260000228882"
"6","11.449999809265","11.199999809265"
"7","11.619999885559","11.319999694824"
"8","11.590000152588","11.020000457764"
"9","11.439999580383","11.060000419617"
"10","11.520000457764","11.050000190735"
"11","12.199999809265","11.340000152588"
"12","12.260000228882","11.810000419617"
"13","12.10000038147","11.630000114441"
"14","12.199999809265","11.579999923706"
"15","12.020000457764","11.64999961853"
"16","12.170000076294","11.85000038147"
"17","12.109999656677","11.789999961853"
"18","12.470000267029","12.010000228882"
"19","12.5","12.10000038147"
"20","12.630000114441","12.380000114441"
"21","12.680000305176","12.35000038147"
"22","12.699999809265","12.300000190735"
"23","12.880000114441","12.550000190735"
"24","12.869999885559","12.520000457764"
"25","12.960000038147","12.560000419617"
"26","13.029999732971","12.579999923706"
"27","12.760000228882","12.430000305176"
"28","12.979999542236","12.449999809265"
"29","12.369999885559","12.029999732971"
"30","12.390000343323","12.109999656677"
"31","12.760000228882","12.310000419617"
"32","12.789999961853","12.229999542236"
"33","12.550000190735","12.010000228882"
"34","12.510000228882","11.979999542236"
"35","12.760000228882","12.340000152588"
"36","12.670000076294","12.10000038147"
"37","12.479999542236","12.10000038147"
"38","12.779999732971","12.229999542236"
"39","12.989999771118","12.619999885559"
"40","12.89999961853","12.420000076294"
"41","12.64999961853","12.270000457764"
"42","13.189999580383","12.609999656677"
"43","13.25","12.689999580383"
"44","13.050000190735","12.760000228882"
"45","13.109999656677","12.720000267029"
"46","13.14999961853","12.699999809265"
"47","13.090000152588","12.810000419617"
"48","13.35000038147","12.890000343323"
"49","13.369999885559","12.800000190735"
"50","13.810000419617","13.270000457764"
"51","13.789999961853","13.449999809265"
"52","13.590000152588","13.359999656677"
"53","13.539999961853","13.039999961853"
"54","13.380000114441","12.979999542236"
"55","12.949999809265","12.579999923706"
"56","13.289999961853","12.720000267029"
"57","13.699999809265","13.069999694824"
"58","13.489999771118","12.930000305176"
"59","12.970000267029","12.60000038147"
"60","13.140000343323","12.359999656677"
"61","13.14999961853","12.859999656677"
"62","13.39999961853","12.699999809265"
"63","13.579999923706","13.25"
"64","13.659999847412","13.289999961853"
"65","13.60000038147","13.210000038147"
"66","13.640000343323","13.270000457764"
"67","13.430000305176","12.89999961853"
"68","13.170000076294","12.710000038147"
"69","13.380000114441","12.880000114441"
"70","12.989999771118","12.760000228882"
"71","13.159999847412","12.699999809265"
"72","13.239999771118","12.949999809265"
"73","13.609999656677","13.180000305176"
"74","13.699999809265","13.409999847412"
"75","13.60000038147","12.800000190735"
"76","13.189999580383","12.880000114441"
"77","13.140000343323","12.920000076294"
"78","13.140000343323","12.909999847412"
"79","13.279999732971","12.829999923706"
"80","13.10000038147","12.829999923706"
"81","13.270000457764","12.909999847412"
"82","13.10000038147","12.930000305176"
"83","13.260000228882","12.909999847412"
"84","13.050000190735","12.829999923706"
"85","13.14999961853","12.819999694824"
"86","13.189999580383","12.909999847412"
"87","13.130000114441","12.729999542236"
"88","12.880000114441","12.159999847412"
"89","12.699999809265","12.14999961853"
"90","12.670000076294","11.960000038147"
"91","12.479999542236","11.789999961853"
"92","12.869999885559","12.409999847412"
"93","13.550000190735","12.409999847412"
"94","13.39999961853","12.970000267029"
"95","13.529999732971","13.029999732971"
"96","13.420000076294","12.979999542236"
"97","13.800000190735","13.25"
"98","13.640000343323","13.140000343323"
"99","13.989999771118","13.140000343323"
"100","14.300000190735","13.890000343323"
"101","13.630000114441","13.35000038147"
"102","13.680000305176","13.520000457764"
"103","13.39999961853","13.14999961853"
"104","13.449999809265","13.25"
"105","13.64999961853","13.369999885559"
"106","13.770000457764","13.479999542236"
"107","13.89999961853","13.510000228882"
"108","14.300000190735","13.909999847412"
"109","14.189999580383","13.840000152588"
"110","14.14999961853","13.770000457764"
"111","13.949999809265","13.770000457764"
"112","14.170000076294","13.810000419617"
"113","14.180000305176","13.909999847412"
"114","14.229999542236","13.960000038147"
"115","14.229999542236","13.539999961853"
"116","13.800000190735","13.449999809265"
"117","13.699999809265","13.460000038147"
"118","13.85000038147","13.489999771118"
"119","13.609999656677","13.39999961853"
"120","13.619999885559","13.289999961853"
"121","13.64999961853","13.340000152588"
"122","13.670000076294","13.279999732971"
"123","13.380000114441","13"
"124","13.159999847412","12.829999923706"
"125","13.420000076294","13.119999885559"
"126","13.420000076294","13.069999694824"
"127","13.5","13.260000228882"
"128","13.439999580383","13.050000190735"
"129","13.390000343323","13.010000228882"
"130","13.5","13.319999694824"
"131","13.5","13.25"
"132","13.64999961853","13.359999656677"
"133","13.640000343323","13.310000419617"
"134","13.729999542236","13.510000228882"
"135","13.550000190735","13.189999580383"
"136","13.39999961853","13.14999961853"
"137","13.369999885559","12.979999542236"
"138","13.420000076294","13.050000190735"
"139","13.39999961853","13.090000152588"
"140","13.449999809265","13.210000038147"
"141","13.340000152588","13.119999885559"
"142","13.520000457764","13.300000190735"
"143","13.5","13.319999694824"
"144","13.510000228882","13.310000419617"
"145","13.590000152588","13.439999580383"
"146","13.539999961853","13.380000114441"
"147","13.720000267029","13.510000228882"
"148","13.829999923706","13.579999923706"
"149","13.89999961853","13.630000114441"
"150","13.829999923706","13.680000305176"
"151","13.949999809265","13.710000038147"
"152","14.050000190735","13.810000419617"
"153","14.14999961853","14"
"154","14.239999771118","13.979999542236"
"155","14.279999732971","13.960000038147"
"156","14.380000114441","14.14999961853"
"157","14.39999961853","14.14999961853"
"158","14.390000343323","14.170000076294"
"159","14.409999847412","14.109999656677"
"160","14.35000038147","14.189999580383"
"161","14.359999656677","14.199999809265"
"162","14.35000038147","14.180000305176"
"163","14.35000038147","14.170000076294"
"164","14.340000152588","14.079999923706"
"165","14.260000228882","14.039999961853"
"166","14.199999809265","13.840000152588"
"167","14.140000343323","13.930000305176"
"168","14.14999961853","13.840000152588"
"169","14.090000152588","13.880000114441"
"170","14.170000076294","13.949999809265"
"171","14.270000457764","14.069999694824"
"172","14.25","14.119999885559"
"173","14.199999809265","13.920000076294"
"174","14.189999580383","13.949999809265"
"175","14.329999923706","14.109999656677"
"176","14.25","14.090000152588"
"177","14.180000305176","13.970000267029"
"178","14.180000305176","13.909999847412"
"179","14.180000305176","14.029999732971"
"180","14.199999809265","13.979999542236"
"181","14.180000305176","14"
"182","14.14999961853","14.020000457764"
"183","14.25","14.050000190735"
"184","14.170000076294","14.029999732971"
"185","14.289999961853","14.109999656677"
"186","14.260000228882","14.069999694824"
"187","14.300000190735","14.170000076294"
"188","14.289999961853","14.130000114441"
"189","14.300000190735","14.14999961853"
"190","14.319999694824","14.109999656677"
"191","14.270000457764","14.140000343323"
"192","14.319999694824","14.079999923706"
"193","14.229999542236","14.029999732971"
"194","14.470000267029","14.220000267029"
"195","14.710000038147","14.35000038147"
"196","14.810000419617","14.609999656677"
"197","14.789999961853","14.550000190735"
"198","14.949999809265","14.659999847412"
"199","15.10000038147","14.909999847412"
"200","15.229999542236","15.039999961853"
"201","15.260000228882","15.010000228882"
"202","15.39999961853","15.229999542236"
"203","15.5","15.260000228882"
"204","15.569999694824","15.329999923706"
"205","15.569999694824","15.189999580383"
"206","15.390000343323","15.25"
"207","15.510000228882","15.329999923706"
"208","15.60000038147","15.300000190735"
"209","15.539999961853","15.430000305176"
"210","15.64999961853","15.460000038147"
"211","15.880000114441","15.569999694824"
"212","15.829999923706","15.60000038147"
"213","15.689999580383","15.319999694824"
"214","15.779999732971","15.470000267029"
"215","15.729999542236","15.229999542236"
"216","15.170000076294","14.819999694824"
"217","15.079999923706","14.819999694824"
"218","14.909999847412","14.550000190735"
"219","14.75","14.560000419617"
"220","14.939999580383","14.579999923706"
"221","15","14.840000152588"
"222","14.89999961853","14.710000038147"
"223","14.979999542236","14.720000267029"
"224","14.689999580383","14.520000457764"
"225","14.680000305176","14.5"
"226","14.800000190735","14.5"
"227","14.640000343323","14.35000038147"
"228","14.579999923706","14.260000228882"
"229","14.420000076294","14.119999885559"
"230","14.279999732971","13.939999580383"
"231","14.420000076294","14.039999961853"
"232","14.670000076294","14.329999923706"
"233","14.800000190735","14.5"
"234","14.829999923706","14.630000114441"
"235","14.819999694824","14.609999656677"
"236","14.810000419617","14.569999694824"
"237","14.869999885559","14.64999961853"
"238","14.960000038147","14.760000228882"
"239","15.229999542236","14.829999923706"
"240","15.229999542236","15.039999961853"
"241","15.439999580383","15.130000114441"
"242","15.319999694824","15.069999694824"
"243","15.25","14.979999542236"
"244","15.130000114441","14.949999809265"
"245","15.270000457764","14.890000343323"
"246","15.079999923706","14.75"
"247","14.729999542236","14.5"
"248","14.779999732971","14.550000190735"
"249","14.89999961853","14.670000076294"
"250","14.989999771118","14.800000190735"
"251","15.039999961853","14.720000267029"
"252","15.189999580383","14.800000190735"
"253","15.039999961853","14.869999885559"
"254","15.260000228882","15"
"255","15.300000190735","15.130000114441"
"256","15.189999580383","15.050000190735"
"257","15.239999771118","14.970000267029"
"258","15.229999542236","15.060000419617"
"259","15.210000038147","14.89999961853"
"260","14.939999580383","14.699999809265"
"261","14.819999694824","14.64999961853"
"262","14.829999923706","14.630000114441"
"263","14.770000457764","14.630000114441"
"264","14.689999580383","14.409999847412"
"265","14.520000457764","14.199999809265"
"266","14.60000038147","14.180000305176"
"267","14.590000152588","14.359999656677"
"268","14.550000190735","14.380000114441"
"269","14.619999885559","14.470000267029"
"270","14.659999847412","14.520000457764"
"271","14.710000038147","14.5"
"272","14.630000114441","14.470000267029"
"273","14.590000152588","14.359999656677"
"274","14.720000267029","14.590000152588"
"275","14.640000343323","14.520000457764"
"276","14.729999542236","14.550000190735"
"277","14.689999580383","14.569999694824"
"278","14.729999542236","14.609999656677"
"279","14.770000457764","14.420000076294"
"280","14.550000190735","14.369999885559"
"281","14.75","14.5"
"282","14.859999656677","14.739999771118"
"283","14.920000076294","14.75"
"284","14.859999656677","14.64999961853"
"285","14.960000038147","14.779999732971"
"286","15.170000076294","14.859999656677"
"287","15.270000457764","15.130000114441"
"288","15.380000114441","15.130000114441"
"289","15.390000343323","15.189999580383"
"290","15.470000267029","15.310000419617"
"291","15.590000152588","15.340000152588"
"292","15.689999580383","15.460000038147"
"293","15.689999580383","15.560000419617"
"294","15.729999542236","15.39999961853"
"295","15.699999809265","15.550000190735"
"296","15.64999961853","15.430000305176"
"297","15.619999885559","15.5"
"298","15.810000419617","15.550000190735"
"299","15.75","15.659999847412"
"300","15.539999961853","15.390000343323"
"301","15.590000152588","15.380000114441"
"302","15.760000228882","15.460000038147"
"303","16.219999313354","15.729999542236"
"304","16.610000610351","16.10000038147"
"305","16.680000305176","16.440000534058"
"306","16.670000076294","16.25"
"307","16.340000152588","16.14999961853"
"308","16.489999771118","16.159999847412"
"309","16.370000839233","16.110000610351"
"310","16.329999923706","16.059999465942"
"311","16.329999923706","16.14999961853"
"312","16.39999961853","16.180000305176"
"313","16.299999237061","16.129999160767"
"314","16.420000076294","16.129999160767"
"315","16.620000839233","16.229999542236"
"316","16.639999389648","16.420000076294"
"317","16.89999961853","16.579999923706"
"318","16.790000915527","16.5"
"319","16.639999389648","16.270000457764"
"320","16.770000457764","16.60000038147"
"321","16.870000839233","16.75"
"322","16.860000610351","16.700000762939"
"323","16.870000839233","16.760000228882"
"324","16.85000038147","16.510000228882"
"325","16.770000457764","16.610000610351"
"326","16.870000839233","16.659999847412"
"327","16.959999084473","16.719999313354"
"328","16.75","16.219999313354"
"329","16.409999847412","16.090000152588"
"330","16.559999465942","16.329999923706"
"331","16.579999923706","16.420000076294"
"332","16.739999771118","16.459999084473"
"333","17","16.770000457764"
"334","17.059999465942","16.780000686646"
"335","16.959999084473","16.829999923706"
"336","16.989999771118","16.780000686646"
"337","16.930000305176","16.809999465942"
"338","16.809999465942","16.610000610351"
"339","17.020000457764","16.639999389648"
"340","16.89999961853","16.459999084473"
"341","16.680000305176","16.319999694824"
"342","16.489999771118","16.069999694824"
"343","16.459999084473","16.120000839233"
"344","16.489999771118","16.319999694824"
"345","16.64999961853","16.280000686646"
"346","16.760000228882","16.530000686646"
"347","16.579999923706","16.200000762939"
"348","16.520000457764","16.200000762939"
"349","16.479999542236","16.219999313354"
"350","16.590000152588","16.329999923706"
"351","16.559999465942","16.319999694824"
"352","16.639999389648","16.340000152588"
"353","16.700000762939","16.530000686646"
"354","16.979999542236","16.620000839233"
"355","16.969999313354","16.690000534058"
"356","16.879999160767","16.559999465942"
"357","17.299999237061","16.889999389648"
"358","17.770000457764","17.260000228882"
"359","17.709999084473","17.409999847412"
"360","17.959999084473","17.610000610351"
"361","18.299999237061","17.989999771118"
"362","18.14999961853","17.829999923706"
"363","18.190000534058","17.799999237061"
"364","18.290000915527","17.909999847412"
"365","18.25","17.889999389648"
"366","18.14999961853","17.89999961853"
"367","17.889999389648","17.739999771118"
"368","18","17.670000076294"
"369","18.10000038147","17.870000839233"
"370","18.450000762939","17.860000610351"
"371","18.35000038147","18.059999465942"
"372","18.35000038147","18.010000228882"
"373","18.040000915527","17.709999084473"
"374","17.729999542236","17.459999084473"
"375","17.770000457764","17.39999961853"
"376","17.979999542236","17.719999313354"
"377","18.020000457764","17.690000534058"
"378","18.030000686646","17.719999313354"
"379","17.85000038147","17.319999694824"
"380","17.290000915527","16.840000152588"
"381","16.959999084473","16.700000762939"
"382","17.129999160767","16.569999694824"
"383","16.930000305176","16.590000152588"
"384","17","16.670000076294"
"385","16.809999465942","16.5"
"386","16.700000762939","16.450000762939"
"387","16.840000152588","16.520000457764"
"388","16.930000305176","16.579999923706"
"389","17.010000228882","16.700000762939"
"390","17.090000152588","16.680000305176"
"391","17.209999084473","16.860000610351"
"392","17.389999389648","17.229999542236"
"393","17.510000228882","17.14999961853"
"394","17.540000915527","17.170000076294"
"395","17.5","17.25"
"396","17.459999084473","17.180000305176"
"397","17.340000152588","17.069999694824"
"398","17.180000305176","16.969999313354"
"399","17.340000152588","17.010000228882"
"400","17.459999084473","17.270000457764"
"401","17.549999237061","17.309999465942"
"402","17.559999465942","17.280000686646"
"403","17.60000038147","17.270000457764"
"404","17.739999771118","17.430000305176"
"405","17.690000534058","17.409999847412"
"406","17.799999237061","17.440000534058"
"407","17.989999771118","17.739999771118"
"408","18.059999465942","17.879999160767"
"409","18.309999465942","17.930000305176"
"410","18.450000762939","18.229999542236"
"411","18.25","18.069999694824"
"412","18.360000610351","18.049999237061"
"413","18.510000228882","18.35000038147"
"414","18.520000457764","18.299999237061"
"415","18.540000915527","18.120000839233"
"416","18.190000534058","18"
"417","18.129999160767","17.889999389648"
"418","17.989999771118","17.790000915527"
"419","17.979999542236","17.760000228882"
"420","18","17.819999694824"
"421","18.129999160767","17.809999465942"
"422","18.229999542236","17.920000076294"
"423","18.079999923706","17.709999084473"
"424","18.110000610351","17.870000839233"
"425","18.25","18.020000457764"
"426","18.120000839233","17.950000762939"
"427","17.959999084473","17.790000915527"
"428","18.090000152588","17.89999961853"
"429","18.079999923706","17.920000076294"
"430","18.079999923706","17.89999961853"
"431","18.069999694824","17.860000610351"
"432","18.139999389648","17.909999847412"
"433","17.909999847412","17.680000305176"
"434","17.920000076294","17.629999160767"
"435","17.829999923706","17.530000686646"
"436","17.780000686646","17.520000457764"
"437","17.969999313354","17.709999084473"
"438","18.110000610351","17.39999961853"
"439","17.64999961853","17.459999084473"
"440","17.639999389648","17.450000762939"
"441","17.680000305176","17.5"
"442","17.549999237061","17.170000076294"
"443","17.329999923706","17.10000038147"
"444","17.200000762939","16.770000457764"
"445","16.920000076294","16.729999542236"
"446","16.969999313354","16.719999313354"
"447","16.829999923706","16.60000038147"
"448","16.790000915527","16.5"
"449","16.590000152588","16.39999961853"
"450","16.590000152588","16.39999961853"
"451","16.639999389648","16.430000305176"
"452","16.760000228882","16.60000038147"
"453","16.829999923706","16.629999160767"
"454","16.889999389648","16.719999313354"
"455","16.840000152588","16.559999465942"
"456","16.659999847412","16.489999771118"
"457","16.729999542236","16.520000457764"
"458","17.030000686646","16.670000076294"
"459","17.180000305176","16.969999313354"
"460","17.170000076294","16.930000305176"
"461","17.239999771118","17.049999237061"
"462","17.229999542236","16.979999542236"
"463","17.340000152588","17.110000610351"
"464","17.389999389648","17.239999771118"
"465","17.360000610351","17.209999084473"
"466","17.299999237061","17.110000610351"
"467","17.139999389648","16.940000534058"
"468","17.14999961853","17"
"469","17.159999847412","16.809999465942"
"470","16.940000534058","16.680000305176"
"471","16.950000762939","16.760000228882"
"472","16.979999542236","16.829999923706"
"473","17.129999160767","16.879999160767"
"474","17.139999389648","17"
"475","17.450000762939","17.020000457764"
"476","17.489999771118","17.270000457764"
"477","17.409999847412","17.200000762939"
"478","17.409999847412","17.159999847412"
"479","17.35000038147","17.219999313354"
"480","17.909999847412","17.229999542236"
"481","17.89999961853","17.670000076294"
"482","17.85000038147","17.60000038147"
"483","17.989999771118","17.659999847412"
"484","18.120000839233","17.780000686646"
"485","17.940000534058","17.709999084473"
"486","17.950000762939","17.770000457764"
"487","17.989999771118","17.780000686646"
"488","18.079999923706","17.760000228882"
"489","17.85000038147","17.719999313354"
"490","17.799999237061","17.510000228882"
"491","17.659999847412","17.430000305176"
"492","17.569999694824","17.39999961853"
"493","17.64999961853","17.440000534058"
"494","17.690000534058","17.459999084473"
"495","17.520000457764","17.360000610351"
"496","17.60000038147","17.479999542236"
"497","17.590000152588","17.5"
"498","17.409999847412","17.280000686646"
"499","17.35000038147","17.159999847412"
"500","17.590000152588","17.180000305176"
"501","17.489999771118","16.860000610351"
"502","17.219999313354","16.950000762939"
"503","17.209999084473","17.020000457764"
"504","17.299999237061","17.120000839233"
"505","17.379999160767","17.239999771118"
"506","17.379999160767","17.120000839233"
"507","17.25","17.10000038147"
"508","17.299999237061","17.180000305176"
"509","17.370000839233","17.25"
"510","17.540000915527","17.329999923706"
"511","17.549999237061","17.450000762939"
"512","17.569999694824","17.329999923706"
"513","17.409999847412","17.209999084473"
"514","17.520000457764","17.229999542236"
"515","17.760000228882","17.450000762939"
"516","17.909999847412","17.700000762939"
"517","17.969999313354","17.670000076294"
"518","18","17.860000610351"
"519","18.120000839233","17.940000534058"
"520","18.35000038147","18.030000686646"
"521","18.299999237061","18.190000534058"
"522","18.39999961853","18.209999084473"
"523","18.450000762939","18.219999313354"
"524","18.459999084473","18.260000228882"
"525","18.319999694824","18.10000038147"
"526","18.25","18.10000038147"
"527","18.290000915527","18.139999389648"
"528","18.270000457764","18.110000610351"
"529","18.39999961853","18.229999542236"
"530","18.5","18.25"
"531","18.579999923706","18.39999961853"
"532","18.60000038147","18.459999084473"
"533","18.819999694824","18.479999542236"
"534","18.799999237061","18.569999694824"
"535","18.860000610351","18.64999961853"
"536","18.950000762939","18.709999084473"
"537","19.180000305176","18.89999961853"
"538","19.209999084473","19.059999465942"
"539","19.25","19.069999694824"
"540","19.229999542236","19.079999923706"
"541","19.280000686646","19.14999961853"
"542","19.280000686646","19.159999847412"
"543","19.35000038147","19.110000610351"
"544","19.170000076294","19.020000457764"
"545","19.110000610351","18.85000038147"
"546","19.040000915527","18.819999694824"
"547","18.969999313354","18.809999465942"
"548","18.760000228882","18.520000457764"
"549","19.049999237061","18.64999961853"
"550","19.040000915527","18.860000610351"
"551","19.340000152588","18.959999084473"
"552","19.540000915527","19.209999084473"
"553","19.450000762939","19.129999160767"
"554","19.479999542236","19.309999465942"
"555","19.290000915527","19.14999961853"
"556","19.319999694824","19.14999961853"
"557","19.430000305176","19.120000839233"
"558","19.450000762939","19.299999237061"
"559","19.420000076294","19.309999465942"
"560","19.549999237061","19.370000839233"
"561","19.579999923706","19.379999160767"
"562","19.60000038147","19.389999389648"
"563","19.739999771118","19.510000228882"
"564","19.729999542236","19.629999160767"
"565","19.739999771118","19.60000038147"
"566","19.870000839233","19.659999847412"
"567","20.090000152588","19.840000152588"
"568","20.069999694824","19.879999160767"
"569","20.010000228882","19.860000610351"
"570","20.040000915527","19.719999313354"
"571","20.10000038147","19.870000839233"
"572","20.069999694824","19.870000839233"
"573","20.120000839233","19.790000915527"
"574","20.170000076294","19.930000305176"
"575","20.530000686646","20.069999694824"
"576","20.639999389648","20.319999694824"
"577","20.639999389648","20.379999160767"
"578","20.069999694824","19.549999237061"
"579","20.030000686646","19.840000152588"
"580","20.370000839233","20"
"581","20.579999923706","20.39999961853"
"582","20.709999084473","20.450000762939"
"583","20.670000076294","20.5"
"584","20.870000839233","20.5"
"585","21.25","20.690000534058"
"586","21.35000038147","21.030000686646"
"587","21.280000686646","21.120000839233"
"588","21.209999084473","20.979999542236"
"589","21.479999542236","21.180000305176"
"590","20.950000762939","20.690000534058"
"591","20.969999313354","20.719999313354"
"592","20.940000534058","20.760000228882"
"593","21.020000457764","20.829999923706"
"594","20.940000534058","20.319999694824"
"595","20.549999237061","20.319999694824"
"596","20.670000076294","20.420000076294"
"597","20.909999847412","20.60000038147"
"598","20.75","20.370000839233"
"599","20.459999084473","20.180000305176"
"600","20.479999542236","20.14999961853"
"601","20.510000228882","20.090000152588"
"602","20.459999084473","20.25"
"603","20.629999160767","20.35000038147"
"604","20.729999542236","20.450000762939"
"605","20.870000839233","20.5"
"606","20.879999160767","20.670000076294"
"607","21.120000839233","20.860000610351"
"608","21.239999771118","20.959999084473"
"609","21.180000305176","20.690000534058"
"610","20.739999771118","20.389999389648"
"611","20.719999313354","20.510000228882"
"612","20.780000686646","20.559999465942"
"613","20.85000038147","20.530000686646"
"614","20.64999961853","20.260000228882"
"615","20.020000457764","19.729999542236"
"616","20.030000686646","19.700000762939"
"617","19.940000534058","19.60000038147"
"618","19.760000228882","19.5"
"619","19.930000305176","19.729999542236"
"620","20.040000915527","19.760000228882"
"621","20.040000915527","19.85000038147"
"622","19.950000762939","19.590000152588"
"623","19.790000915527","19.5"
"624","19.739999771118","19.520000457764"
"625","19.870000839233","19.729999542236"
"626","19.920000076294","19.690000534058"
"627","19.89999961853","19.719999313354"
"628","20.180000305176","19.979999542236"
"629","20.229999542236","19.959999084473"
"630","20.129999160767","19.969999313354"
"631","20.120000839233","19.909999847412"
"632","20.030000686646","19.760000228882"
"633","20.10000038147","19.799999237061"
"634","19.790000915527","19.60000038147"
"635","19.729999542236","19.590000152588"
"636","19.790000915527","19.60000038147"
"637","20.030000686646","19.75"
"638","20.069999694824","19.870000839233"
"639","20.139999389648","19.89999961853"
"640","20","19.770000457764"
"641","20.049999237061","19.870000839233"
"642","20.25","19.879999160767"
"643","20.629999160767","20.219999313354"
"644","20.629999160767","20.5"
"645","20.799999237061","20.540000915527"
"646","20.840000152588","20.260000228882"
"647","20.540000915527","20.229999542236"
"648","20.559999465942","20.360000610351"
"649","20.5","20.200000762939"
"650","20.469999313354","20.159999847412"
"651","20.270000457764","20.069999694824"
"652","20.10000038147","19.780000686646"
"653","19.959999084473","19.739999771118"
"654","20.290000915527","20.010000228882"
"655","20.360000610351","19.959999084473"
"656","20.549999237061","20.159999847412"
"657","20.739999771118","20.540000915527"
"658","20.969999313354","20.709999084473"
"659","21.340000152588","20.879999160767"
"660","21.379999160767","21.120000839233"
"661","21.379999160767","21.239999771118"
"662","21.379999160767","21.139999389648"
"663","21.639999389648","21.180000305176"
"664","21.569999694824","21.270000457764"
"665","21.409999847412","21.170000076294"
"666","21.489999771118","21.200000762939"
"667","21.389999389648","21.200000762939"
"668","21.25","20.989999771118"
"669","21.489999771118","21.059999465942"
"670","21.89999961853","21.510000228882"
"671","22","21.510000228882"
"672","22.5","22.030000686646"
"673","22.39999961853","21.10000038147"
"674","22.989999771118","22.260000228882"
"675","22.959999084473","22.639999389648"
"676","22.790000915527","22.510000228882"
"677","22.959999084473","22.670000076294"
"678","23.139999389648","22.860000610351"
"679","22.840000152588","22.459999084473"
"680","22.790000915527","22.409999847412"
"681","23.090000152588","22.659999847412"
