"ms","pm"
"0.0028655678033829","24.554214477539"
"0.00025678167003207","24.538078308105"
"0.0023549713660032","24.544692993164"
"0.0061046658083797","24.55401802063"
"0.0031328229233622","24.565397262573"
"0.0096361236646771","24.573600769043"
"0.0013370123924688","24.576578140259"
"0.0014219575095922","24.574949264526"
"0.00057655258569866","24.567079544067"
"-0.0012478795833886","24.553241729736"
"0.0018526752246544","24.534229278564"
"-0.0041424613445997","24.518920898438"
"0.0033632672857493","24.508377075195"
"-0.0035653251688927","24.501676559448"
"-0.00058039021678269","24.476713180542"
"0.0002804615360219","24.459692001343"
"-0.0014518655370921","24.458145141601"
"-0.0015386209124699","24.467418670654"
"-0.0032630928326398","24.478000640869"
"0.00078695273259655","24.483293533325"
"-0.0012790844775736","24.508478164673"
"0.0014467239379883","24.530937194824"
"0.0026509019080549","24.538719177246"
"0.00016257009701803","24.530256271362"
"4.7882933616638","24.523567199707"
"117.7774887085","24.525579452515"
"333.6721496582","24.487628936767"
"630.39532470703","24.462026596069"
"984.87585449219","24.440998077392"
"1380.6849365234","24.435739517212"
"1806.1245117188","24.430776596069"
"2252.7548828125","24.36547088623"
"2714.5239257812","24.285898208618"
"3187.1735839844","24.264736175537"
"3662.7673339844","24.372970581055"
"4041.9670410156","24.458320617676"
"4313.6005859375","24.388488769531"
"4508.1884765625","24.405055999756"
"4647.5971679688","24.351060867309"
"4747.486328125","24.319919586182"
"4819.0522460938","24.372678756714"
"4870.3310546875","24.456853866577"
"4907.0751953125","24.49435043335"
"4933.4096679688","24.567909240723"
"4952.2763671875","24.632112503052"
"4965.794921875","24.708045959473"
"4975.4814453125","24.720520019531"
"4982.4213867188","24.724420547485"
"4987.3896484375","24.73588180542"
"4990.9477539062","24.746356964111"
"4993.4926757812","24.854560852051"
"4995.330078125","24.896831512451"
"4996.6411132812","24.881637573242"
"4997.576171875","24.887523651123"
"4998.2592773438","24.935457229614"
"4998.7426757812","24.984306335449"
"4999.0815429688","25.06441116333"
"4999.33203125","25.09139251709"
"4999.501953125","25.134544372559"
"4999.6264648438","25.143804550171"
"4999.7333984375","25.19322013855"
"4999.796875","25.221752166748"
"4999.8383789062","25.265327453613"
"4999.8735351562","25.305328369141"
"4999.8979492188","25.348220825195"
"4999.91015625","25.3577003479"
"4999.9223632812","25.376012802124"
"4999.935546875","25.415790557861"
"4999.9360351562","25.498889923096"
"4999.9453125","25.60040473938"
"4999.9506835938","25.662796020508"
"4999.9521484375","25.659435272217"
"4999.9541015625","25.68253326416"
"4999.9536132812","25.713926315308"
"4999.9487304688","25.771413803101"
"4999.9575195312","25.839286804199"
"4999.955078125","25.880931854248"
"4999.9604492188","25.932897567749"
"4999.9604492188","25.896507263184"
"4999.958984375","25.844209671021"
"4999.951171875","25.910224914551"
"4999.9560546875","25.992824554443"
"4999.9526367188","26.006126403809"
"4999.9536132812","26.033472061157"
"4999.958984375","26.092580795288"
"4999.9584960938","26.131233215332"
"4999.9614257812","26.212135314941"
"4999.9565429688","26.298250198364"
"4999.955078125","26.308235168457"
"4999.9516601562","26.335704803467"
"4999.958984375","26.351419448852"
"4999.962890625","26.420463562012"
"4999.9526367188","26.484958648682"
"4999.9599609375","26.543891906738"
"4999.9584960938","26.583644866943"
"4999.9624023438","26.632503509521"
"4999.9594726562","26.719680786133"
"4999.9565429688","26.780698776245"
"4999.9497070312","26.792114257812"
"4999.9545898438","26.789745330811"
"4999.9536132812","26.787107467651"
"4999.9604492188","26.786985397339"
"4999.9653320312","26.83504486084"
"4999.9653320312","26.940240859985"
"4999.9497070312","26.984142303467"
"4999.9516601562","26.994567871094"
"4999.9594726562","27.046316146851"
"4999.9599609375","27.051979064941"
"4999.9599609375","27.097919464111"
"4999.962890625","27.14457321167"
"4999.9575195312","27.202766418457"
"4999.9560546875","27.260368347168"
"4999.9555664062","27.295755386352"
"4999.951171875","27.320310592651"
"4999.9541015625","27.317138671875"
"4999.958984375","27.36657333374"
"4999.951171875","27.433708190918"
"4999.9584960938","27.472347259521"
"4999.9604492188","27.478404998779"
"4999.958984375","27.497024536133"
"4999.9584960938","27.515472412109"
"4999.9584960938","27.571590423584"
"4999.9565429688","27.587257385254"
"4999.9536132812","27.673805236816"
"4999.9604492188","27.778940200806"
"4999.962890625","27.840744018555"
"4999.9584960938","27.877349853516"
"4999.9619140625","27.916847229004"
"4999.9506835938","27.951351165771"
"4999.9545898438","27.989797592163"
"4999.95703125","28.017669677734"
"4999.9545898438","28.028945922851"
"4999.9536132812","28.047708511352"
"4999.962890625","28.063385009766"
"4999.9624023438","28.062171936035"
"4999.94921875","28.093786239624"
"4999.9497070312","28.198699951172"
"4999.9501953125","28.259389877319"
"4999.955078125","28.329433441162"
"4999.9614257812","28.320503234863"
"4999.953125","28.370502471924"
"4999.962890625","28.45450592041"
"4999.955078125","28.478139877319"
"4999.9536132812","28.446733474731"
"4999.9526367188","28.467960357666"
"4999.9575195312","28.558084487915"
"4999.9487304688","28.667621612549"
"4999.9594726562","28.753984451294"
"4999.9555664062","28.813911437988"
"4999.9575195312","28.805103302002"
"4999.9575195312","28.819229125976"
"4999.9541015625","28.817993164062"
"4999.951171875","28.868028640747"
"4999.9555664062","28.945348739624"
"4999.9545898438","28.934978485107"
"4999.9604492188","28.971151351929"
"4999.9604492188","28.994585037231"
"4999.9638671875","29.041717529297"
"4999.9565429688","29.159412384033"
"4999.9560546875","29.200119018555"
"4999.9521484375","29.170692443848"
"4999.95703125","29.132955551147"
"4999.962890625","29.12463760376"
"4999.9624023438","29.176822662354"
"4999.9614257812","29.254796981811"
"4999.958984375","29.364191055298"
"4999.9516601562","29.439800262451"
"4999.953125","29.452968597412"
"4999.95703125","29.465324401855"
"4999.9609375","29.519338607788"
"4999.9565429688","29.531951904297"
"4999.9619140625","29.517076492309"
"4999.953125","29.524070739746"
"4999.958984375","29.583946228027"
"4999.9541015625","29.633857727051"
"4999.958984375","29.644041061401"
"4999.9545898438","29.634609222412"
"4999.9541015625","29.716724395752"
"4999.958984375","29.799919128418"
"4999.95703125","29.811836242676"
"4999.9594726562","29.767181396484"
"4999.9619140625","29.814804077148"
"4999.9555664062","29.909109115601"
"4999.9497070312","29.948863983154"
"4999.9526367188","29.991163253784"
"4999.951171875","30.009628295898"
"4999.9526367188","30.088283538818"
"4999.958984375","30.143602371216"
"4999.9575195312","30.21022605896"
"4999.9560546875","30.260662078857"
"4999.9521484375","30.30403137207"
"4999.9541015625","30.318086624146"
"4999.9526367188","30.346759796142"
"4999.953125","30.383296966553"
"4999.9575195312","30.427713394165"
"4999.9594726562","30.475856781006"
"4999.9526367188","30.515800476074"
"4999.95703125","30.546089172363"
"4999.9619140625","30.585109710693"
"4999.9614257812","30.604801177979"
