"t","Yt","Y(t-1)","Xt"
"1","0.0028655678033829","","24.554214477539"
"2","0.00025678167003207","0.0028655678033829","24.538078308105"
"3","0.0023549713660032","0.00025678167003207","24.544692993164"
"4","0.0061046658083797","0.0023549713660032","24.55401802063"
"5","0.0031328229233622","0.0061046658083797","24.565397262573"
"6","0.0096361236646771","0.0031328229233622","24.573600769043"
"7","0.0013370123924688","0.0096361236646771","24.576578140259"
"8","0.0014219575095922","0.0013370123924688","24.574949264526"
"9","0.00057655258569866","0.0014219575095922","24.567079544067"
"10","-0.0012478795833886","0.00057655258569866","24.553241729736"
"11","0.0018526752246544","-0.0012478795833886","24.534229278564"
"12","-0.0041424613445997","0.0018526752246544","24.518920898438"
"13","0.0033632672857493","-0.0041424613445997","24.508377075195"
"14","-0.0035653251688927","0.0033632672857493","24.501676559448"
"15","-0.00058039021678269","-0.0035653251688927","24.476713180542"
"16","0.0002804615360219","-0.00058039021678269","24.459692001343"
"17","-0.0014518655370921","0.0002804615360219","24.458145141601"
"18","-0.0015386209124699","-0.0014518655370921","24.467418670654"
"19","-0.0032630928326398","-0.0015386209124699","24.478000640869"
"20","0.00078695273259655","-0.0032630928326398","24.483293533325"
"21","-0.0012790844775736","0.00078695273259655","24.508478164673"
"22","0.0014467239379883","-0.0012790844775736","24.530937194824"
"23","0.0026509019080549","0.0014467239379883","24.538719177246"
"24","0.00016257009701803","0.0026509019080549","24.530256271362"
"25","4.7882933616638","0.00016257009701803","24.523567199707"
"26","117.7774887085","4.7882933616638","24.525579452515"
"27","333.6721496582","117.7774887085","24.487628936767"
"28","630.39532470703","333.6721496582","24.462026596069"
"29","984.87585449219","630.39532470703","24.440998077392"
"30","1380.6849365234","984.87585449219","24.435739517212"
"31","1806.1245117188","1380.6849365234","24.430776596069"
"32","2252.7548828125","1806.1245117188","24.36547088623"
"33","2714.5239257812","2252.7548828125","24.285898208618"
"34","3187.1735839844","2714.5239257812","24.264736175537"
"35","3662.7673339844","3187.1735839844","24.372970581055"
"36","4041.9670410156","3662.7673339844","24.458320617676"
"37","4313.6005859375","4041.9670410156","24.388488769531"
"38","4508.1884765625","4313.6005859375","24.405055999756"
"39","4647.5971679688","4508.1884765625","24.351060867309"
"40","4747.486328125","4647.5971679688","24.319919586182"
"41","4819.0522460938","4747.486328125","24.372678756714"
"42","4870.3310546875","4819.0522460938","24.456853866577"
"43","4907.0751953125","4870.3310546875","24.49435043335"
"44","4933.4096679688","4907.0751953125","24.567909240723"
"45","4952.2763671875","4933.4096679688","24.632112503052"
"46","4965.794921875","4952.2763671875","24.708045959473"
"47","4975.4814453125","4965.794921875","24.720520019531"
"48","4982.4213867188","4975.4814453125","24.724420547485"
"49","4987.3896484375","4982.4213867188","24.73588180542"
"50","4990.9477539062","4987.3896484375","24.746356964111"
"51","4993.4926757812","4990.9477539062","24.854560852051"
"52","4995.330078125","4993.4926757812","24.896831512451"
"53","4996.6411132812","4995.330078125","24.881637573242"
"54","4997.576171875","4996.6411132812","24.887523651123"
"55","4998.2592773438","4997.576171875","24.935457229614"
"56","4998.7426757812","4998.2592773438","24.984306335449"
"57","4999.0815429688","4998.7426757812","25.06441116333"
"58","4999.33203125","4999.0815429688","25.09139251709"
"59","4999.501953125","4999.33203125","25.134544372559"
